year,province,category,value,,
2015,Banten,amc,0.023326744244489356,,
2015,Banten,mc,0.010505826223802769,,
2015,Banten,poor,0.002756222,,
2015,Banten,uc,0.000338934,,
2015,Banten,vulnerable,0.009754655,,
2015,Bengkulu,amc,0.003021356,,
2015,Bengkulu,mc,0.000858199,,
2015,Bengkulu,poor,0.001312212,,
2015,Bengkulu,uc,1.801234958938365e-05,,
2015,Bengkulu,vulnerable,0.002128115,,
2015,DI Yogyakarta,amc,0.006099543,,
2015,DI Yogyakarta,mc,0.002932143,,
2015,DI Yogyakarta,poor,0.002159677,,
2015,DI Yogyakarta,uc,0.000110166,,
2015,DI Yogyakarta,vulnerable,0.003179619,,
2015,DKI Jakarta,amc,0.018877235286099716,,
2015,DKI Jakarta,mc,0.011499443546796655,,
2015,DKI Jakarta,poor,0.001565358,,
2015,DKI Jakarta,uc,0.000710769,,
2015,DKI Jakarta,vulnerable,0.007132868,,
2015,Gorontalo,amc,0.001834923,,
2015,Gorontalo,mc,0.000769546,,
2015,Gorontalo,poor,0.000812365,,
2015,Gorontalo,uc,2.578355818658006e-05,,
2015,Gorontalo,vulnerable,0.000991465,,
2015,Jambi,amc,0.00737537,,
2015,Jambi,mc,0.001675737,,
2015,Jambi,poor,0.001180482,,
2015,Jambi,uc,5.787817229659672e-05,,
2015,Jambi,vulnerable,0.003031918,,
2015,Jawa Barat,amc,0.084876866,,
2015,Jawa Barat,mc,0.036821311468680305,,
2015,Jawa Barat,poor,0.0174056,,
2015,Jawa Barat,uc,0.002243365,,
2015,Jawa Barat,vulnerable,0.041211779645221554,,
2015,Jawa Tengah,amc,0.060300063246743765,,
2015,Jawa Tengah,mc,0.017896002713761225,,
2015,Jawa Tengah,poor,0.017962506176748726,,
2015,Jawa Tengah,uc,0.000768128,,
2015,Jawa Tengah,vulnerable,0.035362732014173844,,
2015,Jawa Timur,amc,0.065547295,,
2015,Jawa Timur,mc,0.028636712985798198,,
2015,Jawa Timur,poor,0.018794914,,
2015,Jawa Timur,uc,0.001202831,,
2015,Jawa Timur,vulnerable,0.038090777476563496,,
2015,Kalimantan Barat,amc,0.009810462,,
2015,Kalimantan Barat,mc,0.002936164,,
2015,Kalimantan Barat,poor,0.001506255,,
2015,Kalimantan Barat,uc,4.1770184560754505e-05,,
2015,Kalimantan Barat,vulnerable,0.004459655,,
2015,Kalimantan Selatan,amc,0.008535735,,
2015,Kalimantan Selatan,mc,0.003147639,,
2015,Kalimantan Selatan,poor,0.000779052,,
2015,Kalimantan Selatan,uc,8.009783440490272e-05,,
2015,Kalimantan Selatan,vulnerable,0.003076622,,
2015,Kalimantan Tengah,amc,0.005458044,,
2015,Kalimantan Tengah,mc,0.001766316,,
2015,Kalimantan Tengah,poor,0.000580002,,
2015,Kalimantan Tengah,uc,3.24563527389696e-05,,
2015,Kalimantan Tengah,vulnerable,0.001936619,,
2015,Kalimantan Timur,amc,0.0076126,,
2015,Kalimantan Timur,mc,0.002173347,,
2015,Kalimantan Timur,poor,0.000835685,,
2015,Kalimantan Timur,uc,1.6842072056743346e-05,,
2015,Kalimantan Timur,vulnerable,0.002776294,,
2015,Kalimantan Utara,amc,0.00140817,,
2015,Kalimantan Utara,mc,0.000266506,,
2015,Kalimantan Utara,poor,0.000155833,,
2015,Kalimantan Utara,uc,4.176669090165844e-06,,
2015,Kalimantan Utara,vulnerable,0.000665674,,
2015,Kepulauan Bangka Belitung,amc,0.003227161,,
2015,Kepulauan Bangka Belitung,mc,0.000651419,,
2015,Kepulauan Bangka Belitung,poor,0.00029097,,
2015,Kepulauan Bangka Belitung,uc,7.906391825765032e-06,,
2015,Kepulauan Bangka Belitung,vulnerable,0.001209326,,
2015,Kepulauan Riau,amc,0.003719728,,
2015,Kepulauan Riau,mc,0.002002334,,
2015,Kepulauan Riau,poor,0.000480703,,
2015,Kepulauan Riau,uc,2.6921898112345587e-05,,
2015,Kepulauan Riau,vulnerable,0.001472451,,
2015,Lampung,amc,0.014080782986788406,,
2015,Lampung,mc,0.003505569,,
2015,Lampung,poor,0.004566646,,
2015,Lampung,uc,9.821528948866039e-05,,
2015,Lampung,vulnerable,0.009577006,,
2015,Maluku,amc,0.002746119,,
2015,Maluku,mc,0.000646113,,
2015,Maluku,poor,0.001290109,,
2015,Maluku,uc,4.632621503595687e-06,,
2015,Maluku,vulnerable,0.001924256,,
2015,Maluku Utara,amc,0.002724604,,
2015,Maluku Utara,mc,0.000599293,,
2015,Maluku Utara,poor,0.000313781,,
2015,Maluku Utara,uc,8.327368759960099e-07,,
2015,Maluku Utara,vulnerable,0.000952844,,
2015,Nusa Tenggara Barat,amc,0.00837601,,
2015,Nusa Tenggara Barat,mc,0.001973521,,
2015,Nusa Tenggara Barat,poor,0.003233874,,
2015,Nusa Tenggara Barat,uc,6.949802840909039e-05,,
2015,Nusa Tenggara Barat,vulnerable,0.005263162,,
2015,Nusa Tenggara Timur,amc,0.007792491,,
2015,Nusa Tenggara Timur,mc,0.001242713,,
2015,Nusa Tenggara Timur,poor,0.004554083,,
2015,Nusa Tenggara Timur,uc,2.1220537085774147e-05,,
2015,Nusa Tenggara Timur,vulnerable,0.006533129,,
2015,Papua,amc,0.004174404,,
2015,Papua,mc,0.001550398,,
2015,Papua,poor,0.003375197,,
2015,Papua,uc,1.3712462519901466e-05,,
2015,Papua,vulnerable,0.002870922,,
2015,Papua Barat,amc,0.001298241,,
2015,Papua Barat,mc,0.00050359,,
2015,Papua Barat,poor,0.000886248,,
2015,Papua Barat,uc,1.2357354901687427e-05,,
2015,Papua Barat,vulnerable,0.000730991,,
2015,Riau,amc,0.013108372887828148,,
