year,province,category,value
2015.0,Banten,poor,0.05904202222196809
2015.0,Banten,uc,0.007260435904039058
2015.0,Banten,vulnerable,0.20895795925655034
2015.0,Bengkulu,amc,0.4117470102954237
2015.0,Bengkulu,mc,0.1169543918372339
2015.0,Bengkulu,poor,0.17882673541138036
2015.0,Bengkulu,uc,0.0024547029624517928
2015.0,Bengkulu,vulnerable,0.29001715949351026
2015.0,DI Yogyakarta,amc,0.42120578381046037
2015.0,DI Yogyakarta,mc,0.2024800225771184
2015.0,DI Yogyakarta,poor,0.14913713553537683
2015.0,DI Yogyakarta,uc,0.007607546331142053
2015.0,DI Yogyakarta,vulnerable,0.21956951174590236
2015.0,DKI Jakarta,amc,0.474473175288529
2015.0,DKI Jakarta,mc,0.2890347771274249
2015.0,DKI Jakarta,poor,0.03934475583276172
2015.0,DKI Jakarta,uc,0.017864960305415213
2015.0,DKI Jakarta,vulnerable,0.17928233144586914
2015.0,Gorontalo,amc,0.41382249962199863
2015.0,Gorontalo,mc,0.17355252959895612
2015.0,Gorontalo,poor,0.18320923318622115
2015.0,Gorontalo,uc,0.005814856542815946
2015.0,Gorontalo,vulnerable,0.22360088105000814
2015.0,Jambi,amc,0.5536488812525197
2015.0,Jambi,mc,0.12579300782006678
2015.0,Jambi,poor,0.08861555944839748
2015.0,Jambi,uc,0.004344756474744761
2015.0,Jambi,vulnerable,0.22759779500427138
2015.0,Jawa Barat,amc,0.4649286087998526
2015.0,Jawa Barat,mc,0.20169549050276123
2015.0,Jawa Barat,poor,0.09534236978011579
2015.0,Jawa Barat,uc,0.012288445300074552
2015.0,Jawa Barat,vulnerable,0.2257450856171959
2015.0,Jawa Tengah,amc,0.45581919947772725
2015.0,Jawa Tengah,mc,0.13527915547051067
2015.0,Jawa Tengah,poor,0.13578186730246047
2015.0,Jawa Tengah,uc,0.0058064230005973145
2015.0,Jawa Tengah,vulnerable,0.26731335474870427
2015.0,Jawa Timur,amc,0.4304604037513161
2015.0,Jawa Timur,mc,0.1880622384438094
2015.0,Jawa Timur,poor,0.12342944766079846
2015.0,Jawa Timur,uc,0.007899197899757689
2015.0,Jawa Timur,vulnerable,0.2501487122443184
2015.0,Kalimantan Barat,amc,0.5231044848651778
2015.0,Kalimantan Barat,mc,0.15655946026879536
2015.0,Kalimantan Barat,poor,0.08031515648926756
2015.0,Kalimantan Barat,uc,0.0022272316129671134
2015.0,Kalimantan Barat,vulnerable,0.2377936667637922
2015.0,Kalimantan Selatan,amc,0.5464917917326116
2015.0,Kalimantan Selatan,mc,0.2015243863155271
2015.0,Kalimantan Selatan,poor,0.049878036054889205
2015.0,Kalimantan Selatan,uc,0.005128182903889881
2015.0,Kalimantan Selatan,vulnerable,0.19697760299308212
2015.0,Kalimantan Tengah,amc,0.5584569253196185
2015.0,Kalimantan Tengah,mc,0.1807261804899095
2015.0,Kalimantan Tengah,poor,0.05934474242336759
2015.0,Kalimantan Tengah,uc,0.00332087345923993
2015.0,Kalimantan Tengah,vulnerable,0.19815127830786444
2015.0,Kalimantan Timur,amc,0.5674790323189133
2015.0,Kalimantan Timur,mc,0.1620115413036773
2015.0,Kalimantan Timur,poor,0.062295905630303586
2015.0,Kalimantan Timur,uc,0.0012554873079921617
2015.0,Kalimantan Timur,vulnerable,0.20695803343911365
2015.0,Kalimantan Utara,amc,0.5631871887034897
2015.0,Kalimantan Utara,mc,0.10658717456308885
2015.0,Kalimantan Utara,poor,0.062324046446204734
2015.0,Kalimantan Utara,uc,0.001670427611750075
2015.0,Kalimantan Utara,vulnerable,0.2662311626754666
2015.0,Kepulauan Bangka Belitung,amc,0.5990887518985418
2015.0,Kepulauan Bangka Belitung,mc,0.12092907810911557
2015.0,Kepulauan Bangka Belitung,poor,0.054015615469509975
2015.0,Kepulauan Bangka Belitung,uc,0.001467739067016791
2015.0,Kepulauan Bangka Belitung,vulnerable,0.22449881545581582
2015.0,Kepulauan Riau,amc,0.482947478251286
2015.0,Kepulauan Riau,mc,0.2599712056595798
2015.0,Kepulauan Riau,poor,0.06241161300170206
2015.0,Kepulauan Riau,uc,0.003495380004461873
2015.0,Kepulauan Riau,vulnerable,0.19117432308297025
2015.0,Lampung,amc,0.442399330991285
2015.0,Lampung,mc,0.11014027244393547
2015.0,Lampung,poor,0.14347789678556877
2015.0,Lampung,uc,0.0030857927718697872
2015.0,Lampung,vulnerable,0.300896707007341
2015.0,Maluku,amc,0.4153719122957408
2015.0,Maluku,mc,0.09772964608967988
2015.0,Maluku,poor,0.1951390352968046
2015.0,Maluku,uc,0.0007007200400404844
2015.0,Maluku,vulnerable,0.2910586862777343
2015.0,Maluku Utara,amc,0.5934204505880244
2015.0,Maluku Utara,mc,0.13052641593542627
2015.0,Maluku Utara,poor,0.06834169007686683
2015.0,Maluku Utara,uc,0.00018137063942570383
2015.0,Maluku Utara,vulnerable,0.20753007276025676
2015.0,Nusa Tenggara Barat,amc,0.44279874907723094
2015.0,Nusa Tenggara Barat,mc,0.1043304188957909
2015.0,Nusa Tenggara Barat,poor,0.17095912643584574
2015.0,Nusa Tenggara Barat,uc,0.003674021482474366
2015.0,Nusa Tenggara Barat,vulnerable,0.27823768410865807
2015.0,Nusa Tenggara Timur,amc,0.3868462936538946
2015.0,Nusa Tenggara Timur,mc,0.061692595026705974
2015.0,Nusa Tenggara Timur,poor,0.22608048616538792
2015.0,Nusa Tenggara Timur,uc,0.0010534610587062056
2015.0,Nusa Tenggara Timur,vulnerable,0.32432716409530526
2015.0,Papua,amc,0.3483130583016782
2015.0,Papua,mc,0.12936545593203422
2015.0,Papua,poor,0.2816270307626
2015.0,Papua,uc,0.0011441703616900608
2015.0,Papua,vulnerable,0.23955028464199754
2015.0,Papua Barat,amc,0.378338423752842
2015.0,Papua Barat,mc,0.14675824236911272
2015.0,Papua Barat,poor,0.2582738065920531
2015.0,Papua Barat,uc,0.003601228451079845
2015.0,Papua Barat,vulnerable,0.21302829883491228
2015.0,Riau,amc,0.5292104590091344
2015.0,Riau,mc,0.14313862964064497
2015.0,Riau,poor,0.08420287057861106
2015.0,Riau,uc,0.004457486176447895
2015.0,Riau,vulnerable,0.23899055459516158
2015.0,Sulawesi Barat,amc,0.4818583385296289
2015.0,Sulawesi Barat,mc,0.13648069887916214
2015.0,Sulawesi Barat,poor,0.12393536248983862
2015.0,Sulawesi Barat,uc,0.0028896507691663718
2015.0,Sulawesi Barat,vulnerable,0.254835949332204
2015.0,Sulawesi Selatan,amc,0.4519813172832642
2015.0,Sulawesi Selatan,mc,0.22668752183891291
2015.0,Sulawesi Selatan,poor,0.09384130818232989
2015.0,Sulawesi Selatan,uc,0.009218354994828204
2015.0,Sulawesi Selatan,vulnerable,0.2182714977006648
2015.0,Sulawesi Tengah,amc,0.4434461299923267
2015.0,Sulawesi Tengah,mc,0.12716730845872704
2015.0,Sulawesi Tengah,poor,0.146627053432289
2015.0,Sulawesi Tengah,uc,0.004040535818817784
2015.0,Sulawesi Tengah,vulnerable,0.2787189722978395
2015.0,Sulawesi Tenggara,amc,0.4599671919913908
2015.0,Sulawesi Tenggara,mc,0.18089137686941553
2015.0,Sulawesi Tenggara,poor,0.12893957624904462
2015.0,Sulawesi Tenggara,uc,0.004765748496169942
2015.0,Sulawesi Tenggara,vulnerable,0.2254361063939791
2015.0,Sulawesi Utara,amc,0.4809237270598001
2015.0,Sulawesi Utara,mc,0.21358786733507876
2015.0,Sulawesi Utara,poor,0.08644247856538584
2015.0,Sulawesi Utara,uc,0.005468919600166028
2015.0,Sulawesi Utara,vulnerable,0.2135770074395693
2015.0,Sumatera Barat,amc,0.5076670437105761
2015.0,Sumatera Barat,mc,0.12519344763946988
2015.0,Sumatera Barat,poor,0.0730983985379149
2015.0,Sumatera Barat,uc,0.0021491717625324457
2015.0,Sumatera Barat,vulnerable,0.2918919383495066
2015.0,Sumatera Selatan,amc,0.4703984593531406
